number,name,address,phone,gos_reestr_code,website,IIN,BIN,gosreestr_link,statsnet_link,city,system_score,Good,Bad,user_score
TK-0002,ТурСалон,"Астана пр. Сарыарка 17, офис 20",7 (701) 530-39-77,ТА-653,http://www.tursalon.kz,790808403521,,https://www.goszakup.gov.kz/ru/registry/show_supplier/483744,https://statsnet.co/search/kz/ТурСалон,Астана,100,,,3.22
TK-0004,Туристическая фирма Идеальный вариант,Павлодар ул. Ак. Сатпаева 174 офис 1,8 (707) 7039707,ТА №0043 от 3 августа 2007 г.,http://www.i-v.kz,,,,https://statsnet.co/search/kz/Туристическая%20фирма%20Идеальный%20вариант,Павлодар,77,,,4.37
TK-0008,Salem Alem tour,"Алматы мкр. Абая, ул. Алтын Орда, 6/45 корпус 2",7 (701) 455-43-43,TA-440 ,,,,,https://statsnet.co/search/kz/Salem%20Alem%20tour,Алматы,67,,,4.43
TK-009,Гелиос-Тур,"Астана ул.Сарайшык, д.11/1, ВП3",+7 (717) 257-66-00,ТА-199,http://www.geliostour.kz,,150740012246,https://www.goszakup.gov.kz/ru/registry/show_supplier/129786,https://statsnet.co/search/kz/Гелиос-Тур,Астана,100,,,2.22
TK-0011,КЛУБ ПУТЕШЕСТВЕННИКОВ,"Костанай ул.Баймагамбетова 205,оф.4",7 (705) 225-48-64,ТА-1208 ,,,160140020029,https://www.goszakup.gov.kz/ru/registry/show_supplier/459742,https://statsnet.co/search/kz/КЛУБ%20ПУТЕШЕСТВЕННИКОВ,Костанай,90,,,4.01
TK-0013,PARADISE TRAVELSt,"Усть-Каменогорск ул.Казахстан,159",7 (701) 322-46-04,ТА-247,http://www.paradise-travel.kz,,,,https://statsnet.co/search/kz/PARADISE%20TRAVELSt,Усть-Каменогорск,77,,,3.13
TK-0014,"Спектр Тур
","Алматы Мауленова 92 офис 226
","7 (777) 227-32-43
","ТА-1226
","http://sptr.kz
",,,,https://statsnet.co/search/kz/Спектр%20Тур,Алматы,77,,,4.39
TK-0015,Туристическая компания Travel House,"Караганда пр. Н.Назарбаева, 12, оф.1",8 (721) 240-01-22,ТА-509,http://www.travelhouse.kz,,,,https://statsnet.co/search/kz/Туристическая%20компания%20Travel%20House,Караганда,77,,,3.28
TK-0016,Туристическое агенство SunRiseТур,Актобе ул. Аз Наурыз 31,7 (707) 690-88-68,KZ66TWG00000153,,,,,https://statsnet.co/search/kz/Туристическое%20агенство%20SunRiseТур,Актобе,67,,,4.12
TK-0017,Bueno tour,Костанай ул.Дощанова д.39 оф. 1,7 (714) 291-77-85,ТА-458 от 01 ноября 2017,https://www.instagram.com/bueno_tour/,,,,https://statsnet.co/search/kz/Bueno%20tour,Костанай,77,,,1.56
TK-0019,ARTi BELON,Алматы ул. Шагабутдинова 73 (уг. ул. Толе Би),8 (727) 390-18-98,ТА-110,http://www.artibelon.kz,,,,https://statsnet.co/search/kz/ARTi%20BELON,Алматы,77,,,1.91
TK-0020,Meridian Travel&Tourism,"Астана Абай 13,офис 908 Isker",87771959270,ТА-383 от 19.04.2017,http://www.turpoisk.kz,,,,https://statsnet.co/search/kz/Meridian%20Travel&Tourism,Астана,77,,,3.82
TK-0021,ТУРАГЕНТСТВО SUNRAYS,"Астана Улица Ыкылас Дукенулы, 9​",+7 (777) 306-10-20,KZ09TWG00000209,,,,,https://statsnet.co/search/kz/ТУРАГЕНТСТВО%20SUNRAYS,Астана,67,,,1.62
TK-0023,Sayat Travel,"Астана ул. Габдуллина 18, ЖК 7 Континент, Блок Е",8 (707) 255-55-44,ТА-376,http://www.sayat-travel.kz,,,,https://statsnet.co/search/kz/Sayat%20Travel,Астана,77,,,3.97
TK-0024,Nils Travel,Алматы ул. Зенкова 59,8 (727) 220-38-15,"ТА-502, 0533522",http://www.nils.kz,,,,https://statsnet.co/search/kz/Nils%20Travel,Алматы,77,,,3.61
TK-0027,AlGri travel,"Алматы Мкр. Аксай-1, дом 15 б, офис 102",8 (727) 381-18-60,ТА-357,http://algritravel.kz,,,,https://statsnet.co/search/kz/AlGri%20travel,Алматы,77,,,1.88
TK-0030,ELAI TOURS ,"Алматы БЦ Милано, АО НК КазАвтоЖол",7 (727) 271-01-67,ТА-375 от 08.07.2010,,,,,https://statsnet.co/search/kz/ELAI%20TOURS,Алматы,67,,,2.51
TK-0032,Колорит,"Алматы Желтоксан, 89",7 (727) 279-48-84,ТА-1760 от 11.11.2013,,,210340022193,https://www.goszakup.gov.kz/ru/registry/show_supplier/473772,https://statsnet.co/search/kz/Колорит,Алматы,90,,,2.1
TK-0033,Казах Ели Тревел ,"Актау 8 мкр, 39А здание БЦ Элит Альянс, 112 офис",8 (775) 383-67-89,ТА-236,,,160340004738,https://www.goszakup.gov.kz/ru/registry/show_supplier/626460,https://statsnet.co/search/kz/Казах%20Ели%20Тревел,Актау,90,,,3.09
TK-0035,САЯТ-ПАВЛОДАР,"Павлодар ул.Лермонтова 96/1, 38",7 (718) 230-15-15,ТА-0057,,,991140002204,https://www.goszakup.gov.kz/ru/registry/show_supplier/119391,https://statsnet.co/search/kz/САЯТ-ПАВЛОДАР,Павлодар,90,,,2.04
TK-0040,Zhanar Travel,Караганда пр. Н.Абдирова 36/4,7 (721) 251-14-54,ТА-1382 от 7 февраля 2013,http://www.znanar.kz,,,,https://statsnet.co/search/kz/Zhanar%20Travel,Караганда,77,,,1.9
TK-0041,TRAVELMANIA,"Караганда Пр. Бухар-Жырау, 49/6",7 (721) 291-20-10,TA-1659,,,,,https://statsnet.co/search/kz/TRAVELMANIA,Караганда,67,,,3.82
TK-0042,Айдана Тур Шымкент,Шымкент ул. Кунаева 36,8 (725) 239-44-39,ТА-380 от 13.04.17,http://aydanatour.kz,,,,https://statsnet.co/search/kz/Айдана%20Тур%20Шымкент,Шымкент,77,,,2.76
TK-0044,Алеста тур,"Астана УЛ  ТАШЕНОВА 9, НП5 ",8 (717) 222-34-11,ТА-193 ОТ 11.09.2015,http://www.alesta.kz ,,,,https://statsnet.co/search/kz/Алеста%20тур,Астана,77,,,2.92
TK-0045,Агентство Riviera-tour ,Павлодар ул.Торайгырова 109А,7 (701) 531-71-10,ТА-140 от 27.10.2009,http://Riviera.kz,,,,https://statsnet.co/search/kz/Агентство%20Riviera-tour,Павлодар,77,,,2.69
TK-0046,Туристическое агентство Гранд-тур,Экибастуз ул.Естая Беркимбаева 95/1 офис 3,8 (701) 781-82-97,ТА-0006 от 13.10.2005,http://ekibastuz.tez-tour.com,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20Гранд-тур,Экибастуз,77,,,1.68
TK-0047,Gid Travel,Алматы ул Гоголя 120/20 оф 3.,7 (775) 338-99-99,ТА-316 от 14.10.2016,http://www.gidtravel.kz,,,,https://statsnet.co/search/kz/Gid%20Travel,Алматы,77,,,1.73
TK-0048,Eco Aria Trade,"Алматы Ауэзовский район,микрорайон жетысу-4,дом 6,кв 9",8 (717) 381-62-04,KZ06UWG00000795,,,,,https://statsnet.co/search/kz/Eco%20Aria%20Trade,Алматы,67,,,2.33
TK-0049,Лавка странствий,Костанай пр. Абая д.166 вп. 17,7 (714) 253-35-33,KZ45UWG00000578,http://lavkastran.kz,,,,https://statsnet.co/search/kz/Лавка%20странствий,Костанай,77,,,3.76
TK-0050,ПОЕХАЛИ С НАМИ Сеть туристических агентств,Алматы ул. Курмангазы 111/ул. Байтурсынова 95 кабинет 109,8 (727) 349-55-40,ТА-304,http://poehalisnami.kz,,,,https://statsnet.co/search/kz/ПОЕХАЛИ%20С%20НАМИ%20Сеть%20туристических%20агентств,Алматы,77,,,2.0
TK-0052,Clever-Tour,Алматы Зенкова 59 офис 135,7 (705) 333-23-63,KZ39UWG00001365,http://www.clevertour.kz,,,,https://statsnet.co/search/kz/Clever-Tour,Алматы,77,,,1.61
TK-0053,Агентство Фараб,Алматы пр. Абая 59,8 (727) 267-11-87,KZ55UWG00001465,,,,,https://statsnet.co/search/kz/Агентство%20Фараб,Алматы,67,,,3.18
TK-0054,"West Services Ltd.
","Актау 14 мкр., БЦ Звезда Актау,421 каб, 4 этаж правое крыло
","7 (701) 408-58-11
","KZ80UWG00000530
","http://
",,,,https://statsnet.co/search/kz/West%20Services%20Ltd.,Актау,77,,,3.71
TK-0055,Авиа Нина-Тур,Караганда ул. Ерубаева 49-23,7 (721) 247-96-56,ТА-2146 от 08.08.2014 г,,,,,https://statsnet.co/search/kz/Авиа%20Нина-Тур,Караганда,67,,,2.74
TK-0056,NICE TRIP,Алматы ул.Кабанбай батыра 91/125,8 (701) 799-95-19,ТА-465 от 30.09.2010,http://www.nicetrip.kz,,,,https://statsnet.co/search/kz/NICE%20TRIP,Алматы,77,,,3.98
TK-0057,SUNRISE TRAVEL,"Астана Проспект Қабанбай Батыр, дом 11, ВП 191",7 (707) 775-30-93,KZ42UWG00001408,http://www.sunrisetour.kz,,,,https://statsnet.co/search/kz/SUNRISE%20TRAVEL,Астана,77,,,3.71
TK-0058,Авиатурагентство ALEKS Tour,"Степногорск 3 мкр., здание 80 (ТД АРМОНД)",8 (716) 456-77-99,ТА-1844 от 31.01.2014,,,,,https://statsnet.co/search/kz/Авиатурагентство%20ALEKS%20Tour,Степногорск,67,,,4.14
TK-0060,Турагентство Круиз,Уральск ул.Ихсанова 109,7 (777) 520-60-11,ТА-0034945 от 30.03.2007 ,http://Отсутствует,,,,https://statsnet.co/search/kz/Турагентство%20Круиз,Уральск,77,,,4.09
TK-0062,BeStar Travel,"Алматы ул. Кабанбай батыра, 55",7 (727) 355-05-25,ТА 204 от 08/12/2015 ,http://www.bestar.kz,,,,https://statsnet.co/search/kz/BeStar%20Travel,Алматы,77,,,2.29
TK-0064,"Турагентство  Marine Tour.com 
","Актау 13 мкр., зд. 25 а - отель «Grand Victory», «Пассаж», 1 этаж.
","7 (777) 730-01-13
","ТА-841
","http://MARINE-TOUR.KZ
",,,,https://statsnet.co/search/kz/Турагентство%20%20Marine%20Tour.com,Актау,77,,,2.92
TK-0065,Evisa Travel,"Алматы Маркова 43, уг. ул Тимирязева, офис 135",8 (727) 328-70-80,KZ89TWG00000321,https://www.evisa.kz,,,,https://statsnet.co/search/kz/Evisa%20Travel,Алматы,77,,,3.06
TK-0066,Пятый сезон,Астана ул. Мангилик ел 20/2 БЦ Азамат офис 703,7 (701) 272-03-50,KZ30UWG00001527,http://5seasons.kz,,,,https://statsnet.co/search/kz/Пятый%20сезон,Астана,77,,,2.85
TK-0067,СМГП КАЗАХСТАН,"Алматы Бостандыкский район,площадь республики,пр Н.Назарбаев,13/195,кв 310",8 (701) 511-87-90,ТА-832 № 0181838 от 15.09.2011,http://www.smgp.kz,,,,https://statsnet.co/search/kz/СМГП%20КАЗАХСТАН,Алматы,77,,,4.45
TK-0068,"Time Fly Travel
","Алматы Жамбыла 162 офис 2
","87071782164
","KZ59UWG00001684
","http://www.tft.kz
",,,,https://statsnet.co/search/kz/Time%20Fly%20Travel,Алматы,77,,,1.6
TK-0069,Авиатурагентство Fantasy Travel,"Шымкент Улица Айбергенова 1, ​1 этаж​",87016168588,TA-259,http://fantasy-travel.kz/,,,,https://statsnet.co/search/kz/Авиатурагентство%20Fantasy%20Travel,Шымкент,77,,,1.85
TK-0070,PALMA TOUR,"Семей проспект Шакарима, 54",7 (777) 366-79-05,ТА-295 от 11.05.2010,http://www.palma-tour.ru,,,,https://statsnet.co/search/kz/PALMA%20TOUR,Семей,77,,,2.01
TK-0071,Nurkhan travel,"Алматы улица Курмангазы, 48 А, офис 101",+77272617177,KZ93UWG00001460,http://www.nht.kz,,,,https://statsnet.co/search/kz/Nurkhan%20travel,Алматы,77,,,2.76
TK-0072,Bubble Travel,Шымкент пр.Тауке хана 82,7 (778) 223-37-37,KZ32UWG00000521,,,,,https://statsnet.co/search/kz/Bubble%20Travel,Шымкент,67,,,1.72
TK-0074,AVIA HASS TRAVEL,Алматы ул. Рубинштейна 21А,8 (701) 503-90-70,ТА-682,http://www.hass-travel.kz,,,,https://statsnet.co/search/kz/AVIA%20HASS%20TRAVEL,Алматы,77,,,4.26
TK-0076,AYA Travel Aktau,"Актау 19 мкр, БЦ «Ерхан», 1-этаж, офис 101",8 (702) 900-66-32,KZ17UWG00001664,,,,,https://statsnet.co/search/kz/AYA%20Travel%20Aktau,Актау,67,,,1.67
TK-0077,агентство Капитан,"Караганда Ерубаева, 27",8 (721) 242-07-42,ТА-1397,,,,,https://statsnet.co/search/kz/агентство%20Капитан,Караганда,67,,,3.84
TK-0080,Туристская компания Жетiсу,"Алматы Бостандыкский район,ул.Габдуллина,дом 55,кв 3",7 (727) 273-29-21,серия АА-13 № 0003313,http://www.zhetisu.kz,,,,https://statsnet.co/search/kz/Туристская%20компания%20Жетiсу,Алматы,77,,,2.95
TK-0082,GO Travel,"Астана Иманова 19, офис 501",8 (701) 646-06-88,KZ44UWG00001081,http://www.gotravel.com.kz,,,,https://statsnet.co/search/kz/GO%20Travel,Астана,77,,,2.31
TK-0084,Турфирма АнараКомпани-ПВ,Павлодар ул.Торайгырова 79-1,7 (718) 255-65-35,ТА-084,,,,,https://statsnet.co/search/kz/Турфирма%20АнараКомпани-ПВ,Павлодар,67,,,1.63
TK-0088,Аружан-агент,"Астана Кабанбай батыра 40, офис 9А",8 (717) 245-20-20,ТА-408,,,,,https://statsnet.co/search/kz/Аружан-агент,Астана,67,,,4.01
TK-0089,Karavan Tour,Шымкент Ул Токаева. 27 офис 408,8 (776) 328-22-14,ТА-039 от 30.03.2015,,,,,https://statsnet.co/search/kz/Karavan%20Tour,Шымкент,67,,,3.82
TK-0090,Ак Жол Tour,"Алматы Алмалинский район,ул.Досмухамедова дом 115",7 (727) 346-60-70,ТА - 146 от 27.05.2015 г.,http://akzholtour.kz/,,,,https://statsnet.co/search/kz/Ак%20Жол%20Tour,Алматы,77,,,3.66
TK-0091,SARY-ARKA TRAVEL,"Караганда Бухар-жырауский район,уштобинский с.о.,с.уштобе,учетный квартал 067,здание 25",7 (705) 751-10-01,ТА-1621,,,,,https://statsnet.co/search/kz/SARY-ARKA%20TRAVEL,Караганда,67,,,3.95
TK-0093,"vLeto Travel
","Шымкент ул. Гагарина 105 А
","7 (705) 717-86-86
","KZ74UWG00001802
","http://
",,,,https://statsnet.co/search/kz/vLeto%20Travel,Шымкент,77,,,2.81
TK-0094,Туристическое агентство Happy Time,"Астана ул.Иманова 41, офис 26",8 (702) 000-72-30,№ KZ20UWG00001804,,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20Happy%20Time,Астана,67,,,3.22
TK-0095,Family Land,Павлодар ул.М.Исиналиева 1-211,7 (707) 201-28-01,ТА-106,,,,,https://statsnet.co/search/kz/Family%20Land,Павлодар,67,,,2.49
TK-0096,TRAVEL STORY,"Алматы ул. Джумалиева 86, угол ул. Толе би, БЦ Гранд Азия корпус B, 7 этаж, 75 офис",87072717438,KZ69UWG00001795,http://travel-story.kz/,,,,https://statsnet.co/search/kz/TRAVEL%20STORY,Алматы,77,,,4.23
TK-0097,ARCS Kazakhstan,Алматы Сейфуллина 500,7 (727) 346-86-40,ТА-547 от 27.12.2010,http://www.arcs.travel,,,,https://statsnet.co/search/kz/ARCS%20Kazakhstan,Алматы,77,,,1.91
TK-0100,NATOUR,"Астана юр: Улы дала 36, факт: Ермекова 1/1А, ЖК Арай-3, НП-25",7 (775) 167-77-16,KZ32UWG00001103,http://sunbathetravel.kz,,,,https://statsnet.co/search/kz/NATOUR,Астана,77,,,1.81
TK-0101,"Prestige Tours
","Шымкент пр.Момышулы 19
","+7 7252 211000
","№ KZ23UWG00001847
","http//trip.prestigetours.kz
",,,,https://statsnet.co/search/kz/Prestige%20Tours,Шымкент,77,,,4.47
TK-0102,Чемодан №8,"Астана пр.Сарыарка 3/1,офис 301",7 (705) 423-27-86,KZ85UWG00001410,https://chemodan.kz/,,,,https://statsnet.co/search/kz/Чемодан%20№8,Астана,77,,,4.47
TK-0104,Туристическое агентство «Вокруг Света»,"Тараз ул. Казыбек би 111 (БЦ Глобус), 2 этаж, 210 офис",7 (705) 845-50-53,KZ00UWG00000903,,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20«Вокруг%20Света»,Тараз,67,,,3.14
TK-0105,Чемодан Актобе №4,Актобе ул. Есет Батыра 116г,8 (771) 310-74-54, KZ30UWG00000945,https://chemodan.kz/,,,,https://statsnet.co/search/kz/Чемодан%20Актобе%20№4,Актобе,77,,,2.15
TK-0106,Турфирма SATTI SAPAR Tours&Travel ,"Астана ул.Иманова 16,офис 7",+7 7172 696 008,ТА-432 от 02.08.2017 г.,http://sattisapar.kz/,,,,https://statsnet.co/search/kz/Турфирма%20SATTI%20SAPAR%20Tours&Travel,Астана,77,,,2.09
TK-0107,Сеть Турагентств ЧЕМОДАН,Алматы ул.Шевченко 14 б,8 (727) 346-82-20,KZ31UWG00000636,https://chemodan.kz/,,,,https://statsnet.co/search/kz/Сеть%20Турагентств%20ЧЕМОДАН,Алматы,77,,,3.08
TK-0108,"Чемодан Алматы №1
","Алматы Шевченко 146 
","8 (727) 346-82-20
","KZ40UWG00001153
","https://chemodan.kz/
",,,,https://statsnet.co/search/kz/Чемодан%20Алматы%20№1,Алматы,77,,,3.73
TK-0109,"Чемодан Алматы №2
","Алматы Шевченко 146 
","8 (727) 346-82-20
","KZ37UWG00001207
","https://chemodan.kz/
",,,,https://statsnet.co/search/kz/Чемодан%20Алматы%20№2,Алматы,77,,,1.63
TK-0111,GETSUN TRAVEL,Алматы Шевченко 157/6,8 (702) 672-65-91,KZ76UWG00001184,,,,,https://statsnet.co/search/kz/GETSUN%20TRAVEL,Алматы,67,,,2.17
TK-0112,ТОО “Enjoy Travel”,Астана Акбар 4,87015137243,KZ29UWG00001157,,,,,https://statsnet.co/search/kz/ТОО%20“Enjoy%20Travel”,Астана,67,,,1.67
TK-0113,Ostrovok tour,"Алматы пр. Абая 202/1, оф. 6, этаж 2",7 (707) 838-11-89,KZ86UWG00000228,http://www.ostrovok-tour.kz,,,,https://statsnet.co/search/kz/Ostrovok%20tour,Алматы,77,,,1.89
TK-0114,ASTANA GLOBAL TRAVEL,"Астана ул. Достык, 1 ВП-2",7 (701) 702 88 88,KZ75UWG00001881,http://globaltravel.kz,,,,https://statsnet.co/search/kz/ASTANA%20GLOBAL%20TRAVEL,Астана,77,,,4.0
TK-0116,Глобус Тур,"Уральск пр-т Евразия, 103, ТД Аквариум, 2 этаж",7 (705) 145-59-85,KZ14UWG00001136,,,,,https://statsnet.co/search/kz/Глобус%20Тур,Уральск,67,,,3.4
