Name,Good,Bad
Ht.kz,0,1
Ht.kz,0,0
Ht.kz,0,0
Ht.kz,0,0
Поедем!,6,3
Казтур,16,5
Адонис Тур,1,3
Traveler.kz,1,0
Триумф travel,0,0
Астана,1,5
Мир на ладони,1,0
Nurly travel,1,0
Амирас,1,1
Жазира-Travel,0,1
Вокруг света,0,0
Казтур aф,0,1
Скоро отпуск,1,1
Astana best travel,0,0
Центр Тур,0,0
Transavia,3,8
Аманат-Тур,0,0
Гульнар Тур,6,73
Кочевник,0,0
Музенидис трэвел,1,0
Оазис -1,0,0
Сомал-Тур.kz,0,1
Alesta tour service,1,0
Astana travel,0,0
Avangard-Travel,0,0
Bon voyage travel center,0,0
Bounty,0,0
Exclusive tour,0,0
International travel plus,0,0
New travel 7,0,2
Nur Ai & Co,3,0
Peritravel,0,0
Zhantour,0,0
Азат travel,0,0
Альбатрос тур-НС,0,0
Аса Тур компани,0,0
Астана-Вояж,0,1
Балу туризм,0,0
Вокруг света,0,0
Вокруг света,0,1
Вэй трэвел НС,0,1
Дельфин Тур,0,0
ДеМирТур,0,0
Ел Тур,1,0
Есiл-Тур,0,0
Жибек жолы-АП,0,0
