number,name,address,phone,website,license,bank_guarantee,IIN,BIN,gosreestr_link,statsnet_link,city,system_score,user_score
1,ONLY B2B,"Алматы, улица Шевченко, дом № 118, оф. 203,",+7 701 712 3423,,19009894,,,,,https://statsnet.co/search/kz/ONLY%20B2B,Алматы,37,2.16
2,KazAllianceGroup,"Астана, ул.Мангилик Ел, 17 НП 232 ЖК Коркем",+7 (7172) 53-91-91,http://kazunion.com/.,,,,,,https://statsnet.co/search/kz/KazAllianceGroup,Астана,17,2.38
3,Topflight-travel,"Караганда, пр. Бухар Жырау 75Г",87212996320,,18021318,,,,,https://statsnet.co/search/kz/Topflight-travel,Караганда,37,2.31
4,Nurkhan Travel,"Алматы, ул. Курмангазы, д. 48а, офис 103",77272617177,,,,,190240018561,https://www.goszakup.gov.kz/ru/registry/show_supplier/399209,https://statsnet.co/search/kz/Nurkhan%20Travel,Алматы,30,1.88
5,RОBINZON KZ,"Алматы, ул. Кунаева 49",77272735406,,,,,,,https://statsnet.co/search/kz/RОBINZON%20KZ,Алматы,7,2.03
6,BTB Tourism,"Алматы, Бульвар Бухар Жырау 26/1, Бизнес Центр Evolution, 7 этаж 55 офис",77272376853,,22019762,,,,,https://statsnet.co/search/kz/BTB%20Tourism,Алматы,37,3.03
7,Resort Holiday KZ (Резорт Холидей Казахстан),"Астана, Kerey Zhanibek Khandar 32",87012229839,,,,,,,https://statsnet.co/search/kz/Resort%20Holiday%20KZ%20(Резорт%20Холидей%20Казахстан),Астана,7,4.24
8,«Best Tour Travel»,"Алматы, Абылайхана 122/64",87272621062,,,,,160940029389,https://www.goszakup.gov.kz/ru/registry/show_supplier/479197,https://statsnet.co/search/kz/«Best%20Tour%20Travel»,Алматы,30,3.55
9,BEYS TOUR,"Алматы, Богенбай батыра 142 , офис 402-406,412-413",77273252525,,,,,,,https://statsnet.co/search/kz/BEYS%20TOUR,Алматы,7,1.69
10,ЭМЭРДЖИНГ ТРЭВЭЛ КАЗАХСТАН («EMERGING TRAVEL KAZAKHSTAN),"Алматы, 050059, Бостандыкский район, проспект АльФараби, дом 19, Блок 1Б, офис 404",77273493517,,,,,,,https://statsnet.co/search/kz/ЭМЭРДЖИНГ%20ТРЭВЭЛ%20КАЗАХСТАН%20(«EMERGING%20TRAVEL%20KAZAKHSTAN),Алматы,7,1.61
